content,source_url,visit_date
"Der integrierte Klappständer ist jetzt vielfach verstellbar, sodass Sie überall bequem arbeiten können – ob im Flugzeug, am Schreibtisch oder vor dem Fernseher. ",http://www.microsoft.com/surface/de-DE/products/surface-pro-3?ocid=SURFACE-PRO-3_0_WOL_Hero_Home_Info_Null_01,2014-12-12
"Sie werden ihn schnell lieb gewinnen: Er ist fleißig, gründlich, leise, ordentlich, eckt nirgendwo an und sieht auch noch gut aus.",http://www.honda.de/garten/gartengeraete_roboter_rasenmaeher_auswahl.php,2014-12-28
"Wer seinen Job perfekt erledigen will, braucht die beste Ausrüstung und einen hart arbeitenden Partner.",http://www.yamaha-motor.eu/de/products/side-by-side/arbeit/viking.aspx,2014-12-15
"Ist das vielleicht der Grund dafür, dass ihm Gelb so gut steht?",http://www.fiat.de/de/pandacross/design-komfort,2014-12-20
Zwei Cupholder in der Mittelkonsole unterstreichen die Liebe zum Detail (optional als temperierte Cupholder mit Kühl- und Heizfunktion erhältlich).,http://www.mercedes-benz.de/content/germany/mpc/mpc_germany_website/de/home_mpc/passengercars/home/new_cars/models/m-class/w166/facts_/design.html,2014-12-05
"Diese funkelnden Designs sind ein echter Hingucker und bringen jede Stadt zum Leuchten mit einem Hauch von Brillanz, passend für eine Königin.",http://www.swatch.com/de_de/collections/let-it-shine,2014-12-22
Die cool-gemütlichen Muster lassen Köpfe drehen und läuten stolz den Beginn der kalten Jahreszeit ein.,http://www.swatch.com/de_de/collections/highlands-mix,2014-12-13
"Der GARD Volumen Schaumfestiger Extra Stark beweist, dass phänomenaler Halt auch ohne Alkohol kein Problem ist.",http://www.gard.de/festiger/articles/volumen-schaumfestiger-ohne-alkohol-extra-stark,2014-12-02
"Gesundes Haar benötigt vor allem das Silizium im Bambusextrakt, da es als körpereigener Stoff das Haar widerstandsfähiger und die Haaroberfläche brillanter macht. ",http://www.gard.de/professional-line/articles/ein-gutes-haarspray-gard-professional-natuerlicher-halt-haarspray,2014-12-09
Die Super Hold–Formel garantiert zementierte Spikes den ganzen Tag bis tief in die Nacht.,http://www.gard.de/gele/articles/massive-spikes-gel-igel-look,2014-12-24
"Man(n) gerät immer wieder in Situationen, wo es auf zuverlässigen Halt ankommt.",http://www.gard.de/gele/articles/haargel-fuer-maenner-gard-men-styling-gel,2014-12-22
Bei jeder Anwendung werden die Aktiv Perlen frisch aktiviert und verschmelzen zu einem seidigen Serum mit purer Anti-Falten Wirkung.,http://www.nivea.de/Produkte/gesichtspflege/q10plus/Q10PLUS-Anti-Falten-Serum-Aktiv-Perlen,2014-12-18
"Der Herbst kann auch mal kalt, dunkel und ungemütlich werden.",http://www.nivea.de/ext11/de-DE/nivea-erleben/themenwelt,2014-12-02
"Die tiefstehende Sonne sorgt mit ihren wärmenden Strahlen für wunderschöne Lichtspiele zwischen den Bäumen, die Luft ist klar, es duftet nach Moos und Pilzen – herrlich!",http://www.nivea.de/ext11/de-DE/nivea-erleben/themenwelt,2014-12-30
"Sie entfalten ihre ganze Pracht und einmalige Ausstrahlung nur dann, wenn sie sich wohlfühlen",http://www.nivea.de/ext11/de-DE/nivea-erleben/themenwelt,2014-12-28
"Am Wichtigsten ist es, eine gewisse Routine zu entwickeln und beizubehalten.",http://www.ariel.de/Waesche/Waschtipps_fur_Teenager,2014-12-21
"Fühlen Sie sich morgens nach dem Aufstehen so fit, dass Sie die Welt umarmen und Bäume ausreißen könnten – voller Kraft und Ideen, fröhlich und gut gelaunt?",http://www.klosterfrau-marke.de/gesundheitswelten/schlaf/kraft-schoepfen-fuer-den-tag.html,2014-12-23
Vom Lichtschalter bis zum Teppichboden ist alles erhalten.,http://fcb-erlebniswelt.de/de/ausstellung/praesidiumszimmer/,2014-12-06
Gemeinsame Begeisterung und gemeinsames Leiden sind wichtige und wertvolle Bestandteile unserer Identität.,http://www.schalke04.de/de/verein/aufbau/leitbild/page/245--245--.html,2014-12-24
"Arbeitssicherheit bedeutet, dass sich unsere Mitarbeiter an die Regeln halten und sicher arbeiten.",http://www.shell.de/environment-society/safety.html,2014-12-18
Beim Schutz unserer Mitarbeiter und Anlagen berücksichtigen wir die Menschenrechte der im Umkreis unserer Standorte wohnenden Menschen.,http://www.shell.de/environment-society/safety.html,2014-12-28
Die Ja!-Sager Kampagne steht unter dem Leitmotiv der Entschlossenheit.,http://www.bp.com/de_de/germany/karriere-center/ja--sager-zu-bp.html,2014-12-28
"Das Konzept von Soll und Haben bildet den Markt der Finanzdienstleistungen umfassend, d.h. in seiner gesamten Tiefe und Breite, ab.",http://www.spiegel-qc.de/media-service/forschung/spiegel-studien,2014-12-02
Ihr Arbeitsleben bei uns hat viele Facetten und passt sich Ihnen an.,http://www.telekom.com/studenten,2014-12-26
Alleine die Autofahrer auf Parkplatzsuche verursachen rund 30 Prozent des innerstädtischen Verkehrsaufkommens - Tendenz stark steigend je näher Weihnachten rückt.,http://www.telekom.com/innovation/archiv/260130,2014-12-03
Machen Sie aus viel einfach noch mehr.,http://www.entertain.de/startseite/inhalte/programm_und_sendervielfalt.html#esr=&stagetab=1,2014-12-04
Es ist einfach in allem besser.,http://www.apple.com/de/iphone-6/,2014-12-27
"Wie bei allem, was man trägt, ist das Aussehen mindestens ebenso wichtig wie die Funktion.",http://www.apple.com/de/watch/design/,2014-12-23
Die besonders attraktiven Vorteile sind genau das Richtige für Dich?,http://www.o2online.de/junge-leute/tarife/uebersicht/,2014-12-12
Und alles ist nur einen Fingertipp entfernt.,http://www.apple.com/de/itunes/,2014-12-14
"Damit alles reibungslos klappt, vereinen unsere innovativen Tarife mehrere Technologien zu einer smarten und einfachen Lösung für Sie. ",https://zuhauseplus.vodafone.de/dsl/unser-versprechen.html,2014-12-27
"Schau dir diese Szenen an:
Menschen in Baumkronen, strahlende Gesichter, verschwitzte Shirts,
witzige Interviews und ein Making-of.",https://youcando.o2online.de/moneytree,2014-12-11
"Wissenschaftlichen Bewertungen kommen zu dem Schluss, dass die geltenden Grenzwerte den Schutz und die Sicherheit der Bevölkerung gewährleisten.",http://www.vodafone.de/unternehmen/soziale-verantwortung/gesundheit-mobilfunk.html,2014-12-24
"Wir halten unsere Versprechen gegenüber Kunden, Partnern und untereinander.",https://www.telefonica.de/unternehmen/sponsoring.html,2014-12-02
"Ein Schulfreund in Wien, eine Tante in London, eine Urlaubsbekanntschaft in Sydney und die große Liebe in Barcelona?",http://www.o2online.de/tarife/landingpages/global-friends/details/,2014-12-18
"Schön, dass wir uns auf die Sonne verlassen können, die täglich aufgeht.",http://www.hohesc.de/Klassiker/Orange,2014-12-25
Der Ideenvielfalt sind bei unseren Muttersäften keine Grenzen gesetzt.,http://www.brauweiler-fruchtsaefte.de/saftshop/index.php?cPath=2&MODsid=9f84dceace86b6f442b8e339f1b726dd,2014-12-03
Manche mögen es gesund und mild.,http://www.hohesc.de/Milde/Milder-Multivitamin,2014-12-20
Bei uns im Chiemgau ist die Natur noch rein und unverfälscht.,http://www.adelholzener.de/,2014-12-25
Genießen Sie ein echtes Stück Bayern.,http://www.adelholzener.de/,2014-12-11
Zahlreiche Varianten sorgen dabei für reichlich Abwechslung.,http://www.adelholzener.de/schorlen-und-mehr/,2014-12-17
"Schön, wenn man beim Sport ein wenig Unterstützung bekommt, dann geht Vieles leichter!",http://www.hohesc.de/Naturelle-Sport,2014-12-04
"Die stylische Flasche, der praktische Sportverschluss und die zahlreichen Geschmacksrichtungen haben mittlerweile Fans in mehr als 20 Ländern auf der ganzen Welt.",http://www.adelholzener.de/active-o2/,2014-12-08
"Das aktuelle Ein-Bundfalten-Modell, die sympathischen Country-Merkmale und die elastische Baumwoll-Qualität ergeben diese vielseitige und attraktive Baumwoll-Hose.",https://www.kimmich-modeversand.de/Baumwoll_Hose_im_Country_Stil/artikel_20.ahtml?NKLN=41_B,2014-12-17
Immer trägt sich der Blouson dabei herrlich leicht und bequem.,https://www.kimmich-modeversand.de/Wildleder_Blouson_aus_Ziegenvelours_in_der_Farbe_cognac/artikel_748.ahtml?NKLN=15_B,2014-12-23
"Als Ganzes kommt so kurz und prägnant zum Ausdruck, was auch die Grundlage unserer „Corporate Responsibility“ Bestrebungen ist: Menschen und Natur um uns herum sind uns wichtig, deshalb übernehmen wir als Unternehmen Verantwortung.",http://www.mammutsportsgroup.ch/de/cr.html,2014-12-25
"Wir wollen unseren Kunden Produkte bieten, die höchsten Ansprüchen an Qualität, Innovation und Funktionalität genügen.",http://www.mammut.ch/de/products_apparel.html,2014-12-16
Durch die Verwendung von Leichtgewichtsmaterialien und die durchdachte Konstruktion konnte das Gewicht ohne Abstriche in der Funktionalität auf das Minimum getrimmt werden.,http://www.mammut.ch/de/productDetail/251002630_v_4325_15/Lithia-Z.html,2014-12-08
"Wir sind fest davon überzeugt, dass ein gesellschaftlich verantwortungsbewusstes Handeln nicht nur eine ethische Verpflichtung ist, sondern auch zu anhaltendem geschäftlichen Erfolg beitragen wird.",http://www.adidas-group.com/de/nachhaltigkeit/nachhaltigkeitsmanagement/allgemeiner-ansatz/,2014-12-11
Gut aussehen möchten Sie in Ihrer Kleidung sowieso.,http://www.schoeffel.de/shop/outdoor/,2014-12-22
Wir geben unser Bestes und beim nächsten Mal noch mehr.,http://www.adidas-group.com/de/marken/adidas/,2014-12-05
"Unsere gemeinsame Leidenschaft schweißt uns zusammen und wir sind ""all in"".",http://www.adidas-group.com/de/marken/adidas/,2014-12-29
Jammern hilft da nicht weiter!,http://www.schoeffel.de/inspiration/looks-und-kataloge,2014-12-29
Einsatz ist nicht an Ruhm geknüpft. ,http://www.adidas-group.com/de/marken/adidas/einsatz-ist-nicht-ruhm-geknupft/,2014-12-05
Denn auch im Leben kann es manchmal ganz schön chaotisch zugehen.,http://www.adidas-group.com/de/marken/adidas/wir-wollen-nicht-um-jeden-preis-gewinnen-das-ist-nicht-unser-met/,2014-12-21
Darüber hinaus wärmt die Naturfaser auch wenn Sie feucht ist.,http://www.schoeffel.de/inspiration/schoeffel-funktionswaesche/?wt_icmc=intc.de.inspiration.schoeffelunderwear,2014-12-12
Die neue Ultra Limited Low ist speziell für Menschen von kleinerer Statur designt.,http://www.harley-davidson.com/content/h-d/de_DE/home.html,2014-12-21
"Von Beginn an war sie wuchtig, relaxt und mit einer unverwechselbaren Silhouette gesegnet.",http://www.harley-davidson.com/de_DE/Motorcycles/fat-boy.html#!key-features,2014-12-18
Markante Designelemente in Schwarz hochglänzend verstärken den sportlichen Auftritt.,http://www.bmw.de/de/neufahrzeuge/3er/activehybrid-3/2011/lines-pakete.html,2014-12-09
"Die große, sportlich ausgeformte Doppelniere verleiht zusätzliche athletische Präsenz.",https://www.bmw.de/de/neufahrzeuge/x/x6/2014/design.html,2014-12-31
